Country,Value (M),Value
China,$56.71B,56710000000
Singapore,$31.53B,31530000000
United States of America,$19.53B,19530000000
Japan,$15.56B,15560000000
Indonesia,$13.22B,13220000000
South Korea,$12.10B,12100000000
Thailand,$11.94B,11940000000
Saudi Arabia,$9.57B,9570000000
Australia,$7.62B,7620000000
Germany,$7.21B,7210000000
India,$6.54B,6540000000
Vietnam,$6.01B,6010000000
United Arab Emirates,$5.57B,5570000000
Ireland,$3.38B,3380000000
Hong Kong,$3.34B,3340000000
Brazil,$2.73B,2730000000
Russia,$2.50B,2500000000
France,$2.32B,2320000000
Philippines,$2.12B,2120000000
United Kingdom,$1.87B,1870000000
Italy,$1.76B,1760000000
Argentina,$1.65B,1650000000
Switzerland,$1.58B,1580000000
Netherlands,$1.12B,1120000000
Canada,$926.60M,926600000
New Zealand,$913.92M,913920000
Ivory Coast,$881.03M,881030000
Belgium,$817.22M,817220000
Oman,$800.23M,800230000
South Africa,$764.55M,764550000
Spain,$688.15M,688150000
Mexico,$671.72M,671720000
Austria,$653.88M,653880000
Brunei,$638.09M,638090000
Kuwait,$618.02M,618020000
Turkey,$614.58M,614580000
Qatar,$603.11M,603110000
Sweden,$491.45M,491450000
Sudan,$470.12M,470120000
Pakistan,$448.33M,448330000
Nigeria,$438.50M,438500000
Gabon,$401.71M,401710000
Ecuador,$359.26M,359260000
Poland,$336.17M,336170000
Greece,$330.74M,330740000
Bangladesh,$328.78M,328780000
Denmark,$324.42M,324420000
Colombia,$318.60M,318600000
Costa Rica,$308.81M,308810000
Chile,$302.22M,302220000
Bahrain,$280.91M,280910000
Finland,$271.67M,271670000
Cameroon,$270.28M,270280000
Czech Republic,$235.58M,235580000
Myanmar,$231.45M,231450000
Norway,$230.45M,230450000
Egypt,$228.21M,228210000
Ghana,$226.36M,226360000
Republic of the Congo,$192.41M,192410000
Peru,$182.91M,182910000
Papua New Guinea,$176.22M,176220000
Hungary,$152.97M,152970000
Congo,$152.90M,152900000
Cambodia,$148.01M,148010000
Romania,$137.02M,137020000
Jordan,$112.42M,112420000
Mozambique,$110.60M,110600000
Togo,$107.35M,107350000
Malaysia,$104.11M,104110000
Iraq,$97.91M,97910000
Tunisia,$94.86M,94860000
Chad,$87.23M,87230000
Ukraine,$81.26M,81260000
Tanzania,$79.87M,79870000
Sri Lanka,$78.12M,78120000
Croatia,$64.41M,64410000
Portugal,$58.54M,58540000
Libya,$57.90M,57900000
Yemen,$53.10M,53100000
Slovenia,$48.41M,48410000
Iran,$46.76M,46760000
Morocco,$42.71M,42710000
Venezuela,$39.23M,39230000
Bulgaria,$38.16M,38160000
Uganda,$34.27M,34270000
Guinea,$33.71M,33710000
Lithuania,$33.36M,33360000
Georgia,$30.60M,30600000
Slovakia,$29.33M,29330000
Montenegro,$28.11M,28110000
Liberia,$26.83M,26830000
Angola,$25.37M,25370000
Algeria,$23.64M,23640000
Madagascar,$23.07M,23070000
Rwanda,$23.01M,23010000
Kenya,$22.90M,22900000
Dominican Republic,$22.65M,22650000
Belarus,$21.82M,21820000
Uruguay,$19.94M,19940000
Guatemala,$17.28M,17280000
Malta,$16.96M,16960000
Ethiopia,$16.66M,16660000
Macau,$16.62M,16620000
Laos,$16.55M,16550000
Estonia,$16.25M,16250000
Latvia,$15.90M,15900000
Cyprus,$10.58M,10580000
Solomon Islands,$10.24M,10240000
Lebanon,$9.94M,9940000
Cuba,$9.59M,9590000
Nicaragua,$9.47M,9470000
Zambia,$8.98M,8980000
Luxembourg,$7.36M,7360000
Panama,$6.87M,6870000
Namibia,$6.41M,6410000
Haiti,$5.81M,5810000
Suriname,$5.48M,5480000
Serbia,$5.09M,5090000
Maldives,$4.85M,4850000
Honduras,$4.60M,4600000
Afghanistan,$3.81M,3810000
Paraguay,$3.71M,3710000
Malawi,$3.46M,3460000
Bosnia And Herzegovina,$3.25M,3250000
Zimbabwe,$3.04M,3040000
Trinidad And Tobago,$2.99M,2990000
Senegal,$2.93M,2930000
Djibouti,$2.47M,2470000
Moldova,$2.42M,2420000
Jamaica,$2.38M,2380000
Central African Republic,$2.37M,2370000
Bolivia,$2.06M,2060000
Barbados,$2.01M,2010000
Vanuatu,$1.99M,1990000
El Salvador,$1.96M,1960000
Kazakhstan,$1.95M,1950000
Sierra Leone,$1.94M,1940000
Mauritius,$1.62M,1620000
Palestine,$1.62M,1620000
Burundi,$1.58M,1580000
Nepal,$1.45M,1450000
Guyana,$1.31M,1310000
Fiji,$1.24M,1240000
Albania,$1.05M,1050000
Bahamas,$987.75K,987750
Seychelles,$823.99K,823990
Turkmenistan,$714.17K,714170
Guinea Bissau,$676.48K,676480
Kiribati,$580.95K,580950
Iceland,$555.72K,555720
Belize,$451.70K,451700
Faroe Islands,$432.82K,432820
Mongolia,$428.31K,428310
Macedonia,$423.22K,423220
Uzbekistan,$420.25K,420250
East Timor,$362.05K,362050
Azerbaijan,$360.91K,360910
Mali,$353.24K,353240
Kyrgyzstan,$266.76K,266760
Mauritania,$248.67K,248670
Benin,$244.57K,244570
Syria,$208.59K,208590
Equatorial Guinea,$188.19K,188190
New Caledonia,$168.86K,168860
Botswana,$149.78K,149780
Cayman Islands,$143.56K,143560
Grenada,$102.58K,102580
Armenia,$99.44K,99440
Gambia,$94.78K,94780
Cape Verde,$88.21K,88210
Burkina Faso,$80.17K,80170
San Marino,$70.11K,70110
Dominica,$50.61K,50610
Samoa,$41.78K,41780
Andorra,$35.26K,35260
South Sudan,$21.09K,21090
Tonga,$17.23K,17230
Bhutan,$17.07K,17070
Somalia,$6.24K,6240
Antigua and Barbuda,$5.38K,5380
Niger,$4.40K,4400
Northern Mariana Islands,$3.14K,3140
Tajikistan,800,800
French Polynesia,504,504
St Kitts and Nevis,128,128
Greenland,109,109
Lesotho,65,65
St Vincent and the Grenadines,52,52
Sao Tome And Principe,39,39
Marshall Islands,$1.65M,1650000
Comoros,$98.74K,98740
Swaziland,$5.34K,5340
Palau,685,685
Bermuda,178,178
Guam,$299.10K,299100
American Samoa,$82.66K,82660
Eritrea,$5.23K,5230
Aruba,$15.46K,15460
Israel,$827.65K,827650
North Korea,$3.68K,3680
,,
