year,month,export (M),import (M)
2013,Jan,57100,53700
2013,Feb,52500,44300
2013,Mar,60000,55100
2013,Apr,55800,54800
2013,May,55700,52900
2013,Jun,56600,52400
2013,Jul,60600,57900
2013,Aug,62800,55800
2013,Sep,63300,54600
2013,Oct,67200,58600
2013,Nov,62400,52500
2013,Dec,65900,56100
2014,Jan,64100,57600
2014,Feb,58900,48500
2014,Mar,64900,55400
2014,Apr,66200,57500
2014,May,64800,59200
2014,Jun,61200,57100
2014,Jul,61100,57500
2014,Aug,63900,60000
2014,Sep,64500,55200
2014,Oct,65000,63900
2014,Nov,63600,52600
2014,Dec,67400,58500
2015,Jan,63000,54600
2015,Feb,52500,48600
2015,Mar,65500,58600
2015,Apr,60000,53700
2015,May,60400,55100
2015,Jun,64300,56500
2015,Jul,63300,60800
2015,Aug,66600,56300
2015,Sep,70200,60500
2015,Oct,75700,63600
2015,Nov,67600,57400
2015,Dec,68300,59900
2016,Jan,61900,56500
2016,Feb,56700,49400
2016,Mar,66600,55400
2016,Apr,61300,52300
2016,May,60000,56800
2016,Jun,66500,60900
2016,Jul,60100,58000
2016,Aug,67700,59000
2016,Sep,68200,60500
2016,Oct,69300,59500
2016,Nov,73000,63900
2016,Dec,75800,66800
2017,Jan,70300,65400
2017,Feb,72000,63100
2017,Mar,82900,77200
2017,Apr,74200,65200
2017,May,79200,73000
2017,Jun,72800,62600
2017,Jul,78700,70600
2017,Aug,82000,72100
2017,Sep,77900,69700
2017,Oct,81900,71900
2017,Nov,83500,73600
2017,Dec,79500,72100
2018,Jan,83300,73200
2018,Feb,70600,61400
2018,Mar,84900,69900
2018,Apr,84600,71400
2018,May,82900,74000
2018,Jun,78800,72700
2018,Jul,86500,78300
2018,Aug,82000,80500
2018,Sep,83300,67800
2018,Oct,97100,80300
2018,Nov,85500,73600
2018,Dec,84100,72100
2019,Jan,86300,73200
2019,Feb,67700,61400
2019,Mar,85700,69900
2019,Apr,86200,71400
2019,May,84700,74000
2019,Jun,76700,72700
2019,Jul,89800,78300
2019,Aug,81500,80500
2019,Sep,78300,67800
2019,Oct,90900,80300
2019,Nov,80900,77000
2019,Dec,86400,73200
2020,Jan,84300,73900
2020,Feb,74600,55600
2020,Mar,80200,69700
2020,Apr,64900,74400
2020,May,62800,75100
2020,Jun,82900,65600
2020,Jul,92700,73800
2020,Aug,80800,70500
2020,Sep,88900,69400
2020,Oct,91200,73300
2020,Nov,84700,67600
2020,Dec,95800,75100
2021,Jan,89700,73100
2021,Feb,87800,69700
2021,Mar,105000,80900
2021,Apr,106000,85300
2021,May,92400,78500
2021,Jun,105000,83200
2021,Jul,97100,83600
2021,Aug,95400,74200
2021,Sep,111000,84700
2021,Oct,114000,87900
2021,Nov,113000,93400
2021,Dec,124000,92900
2022,Jan,111000,92800
2022,Feb,102000,82600
2022,Mar,131000,105000
2022,Apr,127000,104000
2022,May,121000,108000
2022,Jun,144000,121000
2022,Jul,134000,118000
2022,Aug,142000,124000
2022,Sep,144000,112000
2022,Oct,132000,114000
2022,Nov,130000,108000
2022,Dec,132000,104000
2023,Jan,113000,94500
2023,Feb,112000,92700
2023,Mar,130000,103000
2023,Apr,105000,92600
2023,May,120000,104000
2023,Jun,124000,98400
2023,Jul,117000,99500
2023,Aug,115000,97800
2023,Sep,124000,99900
2023,Oct,126000,113000
2023,Nov,122000,110000
2023,Dec,118000,107000
